QID,QuestionText
Q1,I know when I’ve improved because others notice changes.
Q2,I often explore optional materials without being asked.
Q3,TNLA courses increase my confidence in applying new skills on the job.
Q4,The skills I learn in training are rarely relevant to my work.
Q5,Most training I take has little impact on my advancement.
Q6,Self-paced online courses keep me motivated and on track.
Q7,Course credentials have little effect on my future job opportunities here.
Q8,I receive feedback on how I’m applying what I learned.
Q9,I rarely apply training lessons to my actual work right away.
Q10,"The delivery format of TNLA courses (in-person, live online, or asynchronous) influences my motivation to complete them."
Q11,The relevance of TNLA course content motivates me to complete my training.
Q12,I prefer flexible self-guided formats.
